name,domain,segment
11x,11x.ai,AI SDR / AI Sales Agent
6sense,6sense.com,GTM Automation / Revenue Intelligence
8x8 Video,8x8.com,Other / General SaaS
ACT! CRM,act.com,CRM / Sales Ops
AI Rudder,airudder.com,AI SDR / AI Sales Agent
ALM Corp,almcorp.com,Other / General SaaS
AWeber,aweber.com,Email Marketing / Marketing Automation
Abacus.ai,abacus.ai,Other / General SaaS
Aberdeen Data,aberdeen.com,B2B Data / Enrichment / Prospecting
Abmatic AI,abmatic.ai,GTM Automation / Revenue Intelligence
Acelle,acellemail.com,Email Marketing / Marketing Automation
Acquire,acquire.io,Other / General SaaS
Act-On,act-on.com,Email Marketing / Marketing Automation
Activated Scale,activatedscale.com,AI SDR / AI Sales Agent
ActiveCampaign,activecampaign.com,Email Marketing / Marketing Automation
Activedemand,activedemand.com,Email Marketing / Marketing Automation
Acuity Scheduling,acuityscheduling.com,Other / General SaaS
Acumatica,acumatica.com,CRM / Sales Ops
Acymailing,acymailing.com,Email Marketing / Marketing Automation
Adapt,adapt.io,B2B Data / Enrichment / Prospecting
AdaptiveMail,adaptivemail.com,Email Marketing / Marketing Automation
Adeptia,adeptia.com,Other / General SaaS
Adobe Experience Cloud,adobe.com,Email Marketing / Marketing Automation
AeroLeads,aeroleads.com,B2B Data / Enrichment / Prospecting
Affinity,affinity.co,CRM / Sales Ops
AgentSync,agentsync.io,Other / General SaaS
Agentforce,salesforce.com,AI SDR / AI Sales Agent
Agile CRM,agilecrm.com,CRM / Sales Ops
Agillic,agillic.com,Email Marketing / Marketing Automation
AiSDR,aisdr.com,AI SDR / AI Sales Agent
Aidaptive,aidaptive.com,GTM Automation / Revenue Intelligence
Aircall,aircall.io,Other / General SaaS
Aircover,aircover.ai,Conversation Intelligence / Enablement
Aisler,aisler.net,Other / General SaaS
Albacross,albacross.com,GTM Automation / Revenue Intelligence
Algolia,algolia.com,Other / General SaaS
Aligned,aligned.io,Sales Engagement Platform
Allbound,allbound.com,Other / General SaaS
Allego,allego.com,Conversation Intelligence / Enablement
Allo,withallo.com,Other / General SaaS
AlphaSense,alpha-sense.com,GTM Automation / Revenue Intelligence
Alyce,alyce.com,Other / General SaaS
Amazon SES,aws.amazon.com,Email Infrastructure / Warmup
Ambition,ambition.com,CRM / Sales Ops
Amplemarket,amplemarket.com,Sales Engagement Platform
Analyze.io,analyze.io,Other / General SaaS
Anymailfinder,anymailfinder.com,B2B Data / Enrichment / Prospecting
