rank,domain,company_name,score,employees,revenue,city,state,country
1,randallreilly.com,"Randall Reilly Talent, LLC",800,201-500,10-100M,Tuscaloosa,AL,US
2,overpass.com,Overpass,800,51-200,10-100M,Newark,NJ,US
3,pdpglobal.com,PDP Global,800,11-50,1-10M,Colorado Springs,CO,US
4,yunojuno.com,YunoJuno,800,51-200,10-100M,New York,NY,US
5,wayup.com,"WayUp, Inc.",800,51-200,10-100M,Chicago,IL,US
6,automotohr.com,AutomotoHR,800,51-200,10-100M,Shelby,MI,US
7,oskarwegner.pl,Oskar Wegner,800,51-200,10-100M,Szczecin,87,PL
8,flexhr.com,Flex HR,785,51-200,10-100M,Winnetka,IL,US
9,catsone.com,CATS Applicant Tracking System,778,11-50,10-100M,Canton,OH,US
10,lever.co,Lever,775,51-200,10-100M,San Francisco,CA,US
11,hays.com,Hays,772,51-200,>1B,Tampa,FL,US
12,hr.com,HR.com,763,201-500,10-100M,San Francisco,CA,US
13,ingenuiti.com,Ingenuiti,759,51-200,10-100M,Virginia Beach,VA,US
14,alderkoten.com,Alder Koten,756,11-50,10-100M,The Woodlands,TX,US
15,peopleadmin.com,PeopleAdmin,752,11-50,10-100M,Folsom,CA,US
16,richgroupusa.com,The Richmond Group USA,742,51-200,10-100M,Henrico,VA,US
17,jellyvision.com,Jellyvision,739,201-500,10-100M,Chicago,IL,US
18,aspentechlabs.com,"Aspen Technology Labs, Inc.",730,51-200,10-100M,Aspen,CO,US
19,ccat.us,"Connecticut Center for Advanced Technology, Inc.",729,51-200,10-100M,East Hartford,CT,US
20,specialistsgrid.com,SpecialistsGrid,728,11-50,10-100M,Most,,CZ
21,pageuppeople.com,PageUp,728,201-500,100M-1B,New York,NY,US
22,aidt.edu,AIDT,727,201-500,10-100M,Montgomery,AL,US
23,buyerads.com,Buyer Advertising,726,201-500,10-100M,Needham Heights,MA,US
24,haleymarketing.com,Haley Marketing,725,51-200,10-100M,Williamsville,NY,US
25,opensymmetry.com,OpenSymmetry,725,51-200,10-100M,Austin,TX,US
26,upicsolutions.org,Upic Solutions,724,51-200,10-100M,Cincinnati,OH,US
27,verifiedfirst.com,Verified First,723,51-200,10-100M,Meridian,ID,US
28,alldigitalrewards.com,All Digital Rewards,723,11-50,10-100M,Scottsdale,AZ,US
29,insideoutdev.com,InsideOut Development,723,51-200,1-10M,Alpine,UT,US
30,talkpush.com,Talkpush,722,51-200,10-100M,Dover,DE,US
31,onaliro.com,Aliro Group,719,11-50,10-100M,Bryn Mawr,PA,US
32,viapeople.com,viaPeople,714,11-50,10-100M,Millinocket,NJ,US
33,jobtarget.com,JobTarget,713,201-500,10-100M,Stamford,CT,US
34,americanstaffing.net,American Staffing Association,712,51-200,10-100M,Alexandria,VA,US
35,globalpeoplestrategist.com,Global People Strategist,711,11-50,1-10M,Winthrop,MA,US
36,h-vision.com,H-Vision,711,11-50,1-10M,,,US
37,careacademy.com,CareAcademy,707,11-50,10-100M,Boston,MA,US
38,sparkhire.com,Spark Hire,706,51-200,10-100M,Deerfield,IL,US
39,bizassure.com,BizAssure,706,11-50,1-10M,Fresno,CA,US
40,personalityhr.com,Personality,705,11-50,10-100M,Bratislava,BL,SK
41,4latam.com,4 Latvia,702,11-50,10-100M,Purling,NY,US
42,uzio.com,UZIO,694,51-200,10-100M,Great Falls,VA,US
43,cleverstaff.net,CleverStaff,692,11-50,1-10M,Lviv,46,UA
44,goodcall.eu,GoodCall,690,51-200,10-100M,Opatovice nad Labem,52,CZ
45,myworkforcego.com,Workforce Go,689,51-200,10-100M,Carrollton,TX,US
46,indigo.co.ua,Indigo,688,11-50,10-100M,Киев,,UA
47,gigster.com,Gigster,687,51-200,10-100M,Austin,TX,US
48,strategichrinc.com,Clark Schaefer Strategic HR,686,11-50,10-100M,Cincinnati,OH,US
49,turnkeycoachingsolutions.com,TurnKey Coaching & Development Solutions,681,11-50,1-10M,Houston,TX,US
50,predictiveindex.com,The Predictive Index,680,201-500,100M-1B,Westwood,MA,US
51,gloat.com,Gloat,678,51-200,10-100M,New York,NY,US
52,lionstep.com,Lionstep AG,677,51-200,10-100M,New York City,NY,US
53,galvanize.com,Galvanize,674,201-500,10-100M,Denver,CO,US
54,betterworks.com,Betterworks,673,201-500,10-100M,Menlo Park,CA,US
55,xobin.com,Xobin,672,11-50,10-100M,New York,NY,US
56,eskill.com,eSkill Corporation,671,51-200,10-100M,San Antonio,TX,US
57,movement-rx.com,Movement Rx,671,11-50,1-10M,San Diego,CA,US
58,abilitie.com,Abilitie,670,51-200,10-100M,Austin,TX,US
59,onshift.com,OnShift,666,51-200,10-100M,Cleveland,OH,US
60,mobilunity.com,Mobilunity,665,201-500,10-100M,Київ,,UA
61,thru-line.com,"Thruline Marketing, Inc.",664,11-50,10-100M,Overland Park,KS,US
62,slingshotgroup.org,Slingshot Group,664,51-200,10-100M,Irvine,CA,US
63,frontlinesourcegroup.com,Frontline Source Group,663,201-500,10-100M,Dallas,TX,US
64,shl.ro,SHL Romania,662,11-50,10-100M,Bucharest,,RO
65,lifeguides.com,LifeGuides,661,51-200,10-100M,Tempe,AZ,US
66,doccafe.com,DocCafe,661,11-50,10-100M,San Diego,CA,US
67,ectotec.com,EctoTec,660,51-200,10-100M,,TX,US
68,hirevue.com,Hirevue,659,201-500,10-100M,Sandy,UT,US
69,envoyglobal.com,Envoy Global,659,201-500,100M-1B,Chicago,IL,US
70,underdog.io,Underdog.io,655,11-50,1-10M,New York,NY,US
71,astrnt.co,ASTRNT,651,51-200,10-100M,University,FL,US
72,teamable.com,Teamable,649,11-50,10-100M,San Francisco,CA,US
73,hirecadre.com,Cadre,649,11-50,1-10M,Bloomington,IN,US
74,axented.com,Axented,649,11-50,10-100M,Miami,FL,US
75,perkspot.com,PerkSpot,649,51-200,10-100M,Chicago,IL,US
76,goodtime.io,GoodTime,647,51-200,10-100M,Covina,CA,US
77,xor.ai,XOR,647,11-50,10-100M,San Jose,CA,US
78,coderpad.io,"CoderPad, Inc.",647,51-200,10-100M,San Francisco,CA,US
79,amazinghiring.com,AmazingHiring,646,11-50,1-10M,Redwood City,CA,US
80,collinsongrant.com,Collinson Grant,643,51-200,10-100M,Wilmington,DE,US
81,recruhr.com,RECRU,641,11-50,1-10M,Bratislava,BL,SK
82,emergeedu.com,Emerge Education,641,11-50,10-100M,Mechanicsburg,PA,US
83,flexiple.com,Flexiple,640,51-200,10-100M,Claymont,DE,US
84,eliteworkforceinc.com,Elite Workforce Inc,639,11-50,10-100M,Skokie,IL,US
85,textkernel.com,Textkernel,637,51-200,10-100M,Boston,MA,US
86,softuni.org,SoftUni Global,637,51-200,10-100M,,,US
87,launchcode.org,LaunchCode,635,51-200,10-100M,Saint Louis,MO,US
88,arcpointlabs.com,ARCpoint Labs,635,201-500,10-100M,Atlanta,GA,US
89,aktglobal.com,AKT Global,635,201-500,10-100M,Denver,CO,US
90,chiefexecutive.net,Chief Executive,632,51-200,10-100M,Brentwood,TN,US
91,float.com,Float,632,51-200,10-100M,New York,NY,US
92,correctcontext.com,Correct Context Sp. z o.o.,632,11-50,10-100M,Bydgoszcz,,PL
93,flexchecks.com,FlexChecks,632,11-50,1-10M,Grand Rapids,MI,US
94,qwick.com,Qwick,631,51-200,10-100M,Charleston,SC,US
95,careerangels.eu,Career Angels,630,11-50,1-10M,Warsaw,14,PL
96,persiahr.com,PersiaHR,630,11-50,1-10M,Kharkov,63,UA
97,themuse.com,The Muse,629,201-500,10-100M,Northville,MI,US
98,wingspan.app,Wingspan,629,51-200,10-100M,New York,NY,US
99,symmetrical.ai,Symmetrical,629,11-50,10-100M,Warszawa,,PL
100,marcusassoc.com,Marcus & Associates,628,51-200,10-100M,Saint Petersburg,FL,US
101,gamesforbusiness.com,Games for Business Kft.,628,11-50,1-10M,Lens,BA,HU
102,espresa.com,Espresa,627,51-200,10-100M,Palo Alto,CA,US
103,talenttechlabs.com,Talent Tech Labs,626,11-50,1-10M,New York,NY,US
104,manageyourbiz.com,Manage Your Business,626,11-50,10-100M,East Amherst,NY,US
105,t360.com,T3 Sixty,626,11-50,10-100M,Ladera Ranch,CA,US
106,huffmaster.com,Huffmaster,625,201-500,100M-1B,Clawson,MI,US
107,gr8people.com,"GR8 People, Inc.",624,11-50,10-100M,Yardley,PA,US
108,select.com,Select Staffing,624,201-500,100M-1B,Duluth,GA,US
109,crecentech.com,CrecenTech,622,201-500,10-100M,Exton,PA,US
110,goto-psi.com,Performance Solutions International,622,11-50,1-10M,Bradenton,FL,US
111,andiamogo.com,Andiamo,621,51-200,10-100M,San Francisco,CA,US
112,terminal.io,Terminal,617,51-200,10-100M,San Francisco,CA,US
113,glassdoor.com,Glassdoor,616,201-500,100M-1B,Glendale,CA,US
114,grayscaleapp.com,Paylocity,616,51-200,10-100M,Atlanta,GA,US
115,recruitics.com,Recruitics,614,51-200,10-100M,Wilton,CT,US
116,imperativeinfo.com,Imperative,614,11-50,10-100M,Fort Worth,TX,US
117,clora.com,Clora,613,11-50,1-10M,Boston,MA,US
118,talentquest.com,TalentQuest,612,201-500,10-100M,Exton,PA,US
119,fastport.com,"Fastport, Inc.",611,11-50,1-10M,Valparaiso,IN,US
120,wildsparq.com,Wildsparq,609,11-50,1-10M,Birmingham,AL,US
121,justpressone.com,JustPressOne,609,51-200,10-100M,Fountain Valley,CA,US
122,mobilityempowered.com,"Mobility Empowered, Inc.",607,11-50,1-10M,Denver,CO,US
123,viqtory.com,VIQTORY,606,11-50,10-100M,Moon Township,PA,US
124,asurint.com,Asurint,606,201-500,10-100M,Cleveland,OH,US
125,benefitresource.com,Benefit Resource,606,51-200,10-100M,Willow Grove,PA,US
126,azimuthway.com,Azimuth a Verstela Company,606,11-50,10-100M,Chicago,IL,US
127,mintzgroup.com,Mintz Group,599,201-500,10-100M,New York,NY,US
128,factoryfix.com,FactoryFix Inc.,598,51-200,10-100M,Milwaukee,WI,US
129,bartellbartell.com,"Bartell & Bartell, Ltd.",598,11-50,1-10M,State College,PA,US
130,v19p.info,Velocity Resource Group,594,51-200,10-100M,Tampa,FL,US
131,positivelypartners.org,Positively Partners,594,11-50,1-10M,Boston,MA,US
132,qs2500.com,Quantum Strategies,594,11-50,10-100M,Glen Mills,PA,US
133,aureon.com,Aureon,589,201-500,10-100M,Overland Park,KS,US
134,bydrec.com,"Bydrec, Inc.",588,11-50,10-100M,Pleasanton,CA,US
135,resourcepoint.net,Resource Point LLC,588,11-50,10-100M,Troy,MI,US
136,ducatuspartners.com,Ducatus Partners,586,11-50,1-10M,Beverly,AR,US
137,traitify.com,Traitify,586,11-50,10-100M,Baltimore,MD,US
138,andvaris.com,Andvaris,585,11-50,10-100M,Miami,FL,US
139,rivierapartners.com,Riviera Partners,585,201-500,10-100M,San Francisco,CA,US
140,setworks.org,Workforce Solutions Southeast Texas,583,11-50,10-100M,Port Arthur,TX,US
141,nasrecruitment.com,NAS Recruitment Innovation,582,51-200,10-100M,Fort Washington,PA,US
142,cleartrackhr.com,CleartrackHR,582,11-50,10-100M,Huntsville,AL,US
143,innervue.net,InnerVue,581,11-50,1-10M,Augusta,GA,US
144,tiburondata.com,Tiburon Data,578,11-50,10-100M,Charleston,SC,US
145,jobsity.com,Jobsity,577,201-500,10-100M,Houston,TX,US
146,revelmarketing.com,Revel,574,11-50,1-10M,Muskegon,MI,US
147,clikma.com,CLIKMA,574,11-50,1-10M,Atlanta,GA,US
148,fulljob.pl,Full Job Polska Limited liability company Sp. z o.o.,574,11-50,10-100M,Lublin,06,PL
149,techservealliance.org,TechServe Alliance,573,11-50,10-100M,Alexandria,VA,US
150,andersonwillinger.com,Anderson Willinger s.r.o.,572,11-50,1-10M,Praha 1-Staré Město,52,CZ
151,symphonytalent.com,Symphony Talent,571,201-500,10-100M,New York,NY,US
152,gamfi.com,Gamfi,571,11-50,10-100M,Warszawa,78,PL
153,connexissearch.com,Connexis Search Group,570,11-50,1-10M,Greenville,SC,US
154,insite-la.com,Insite,570,51-200,10-100M,Miami Beach,FL,US
155,clientresourcesinc.com,Client Resources Inc.,569,51-200,10-100M,Omaha,NE,US
156,jobstorestaffing.com,Job Store Staffing,569,51-200,10-100M,Denver,CO,US
157,interfell.com,Interfall,569,51-200,10-100M,Plantation,FL,US
158,mentorcruise.com,MentorCruise,569,201-500,10-100M,Spring,TX,US
159,12twenty.com,12twenty,568,51-200,10-100M,Santa Monica,CA,US
160,inovapayroll.com,Inova Payroll,568,51-200,10-100M,Nashville,TN,US
161,prusakgroup.cz,Prusak Group,568,11-50,1-10M,Praha 5-Radlice,52,CZ
162,qualigence.com,Qualigence International,565,51-200,10-100M,Livonia,MI,US
163,ererecruitingconference.com,"ERE Media, Inc.",565,51-200,1-10M,San Diego,CA,US
164,semlerbrossy.com,Semler Brossy,564,51-200,10-100M,New York,NY,US
165,jobelephant.com,JobElephant,563,11-50,10-100M,San Diego,CA,US
166,flocareer.com,FloCareer,563,51-200,10-100M,Burlington,MA,US
167,qualifi.hr,Qualifi Technologies Inc.,562,51-200,10-100M,Hamilton,,HR
168,vangst.com,Vangst,562,51-200,10-100M,Denver,CO,US
169,worksome.com,Worksome,562,51-200,10-100M,Centennial,CO,US
170,databased.com,DataBased,561,11-50,1-10M,Lehi,UT,US
171,cloudvandana.com,CloudVandana Solutions,561,11-50,10-100M,Middletown,DE,US
