name,domain,segment
11x,11x.ai,AI SDR / AI Sales Agent
Activated Scale,activatedscale.com,AI SDR / AI Sales Agent
AI Rudder,airudder.com,AI SDR / AI Sales Agent
AiSDR,aisdr.com,AI SDR / AI Sales Agent
Agentforce,salesforce.com,AI SDR / AI Sales Agent
Aomni,aomni.com,AI SDR / AI Sales Agent
Artisan,artisan.co,AI SDR / AI Sales Agent
BHuman,bhuman.ai,AI SDR / AI Sales Agent
Beanbag AI,beanbag.ai,AI SDR / AI Sales Agent
Boomerang AI,boomerangai.com,AI SDR / AI Sales Agent
Bounti,bounti.ai,AI SDR / AI Sales Agent
Breakout AI,getbreakout.ai,AI SDR / AI Sales Agent
Byrd.ai,byrd.ai,AI SDR / AI Sales Agent
Callbox,callboxinc.com,AI SDR / AI Sales Agent
Cleve.ai,cleve.ai,AI SDR / AI Sales Agent
Coldreach,coldreach.ai,AI SDR / AI Sales Agent
Conversica,conversica.com,AI SDR / AI Sales Agent
CustomerAI,customerai.com,AI SDR / AI Sales Agent
Cykel AI,cykel.ai,AI SDR / AI Sales Agent
Ema SDR,ema.ai,AI SDR / AI Sales Agent
Exceed AI,exceed.ai,AI SDR / AI Sales Agent
Fello AI,fello.ai,AI SDR / AI Sales Agent
Fiber AI,fiber.ai,AI SDR / AI Sales Agent
Flapper,flapper.ai,AI SDR / AI Sales Agent
Galadon,galadon.com,AI SDR / AI Sales Agent
Genesy AI,genesy.ai,AI SDR / AI Sales Agent
GeniusAI,geniusai.com,AI SDR / AI Sales Agent
H.ai,h.ai,AI SDR / AI Sales Agent
HeySam,heysam.ai,AI SDR / AI Sales Agent
HeroBase,herobase.ai,AI SDR / AI Sales Agent
Humanlinker,humanlinker.com,AI SDR / AI Sales Agent
InfiniteAI,infinite.ai,AI SDR / AI Sales Agent
Jarvis,usejarvish.com,AI SDR / AI Sales Agent
Javos,javos.ai,AI SDR / AI Sales Agent
Jeeva AI,jeeva.ai,AI SDR / AI Sales Agent
Kenda,kenda.ai,AI SDR / AI Sales Agent
Knock AI,knock-ai.com,AI SDR / AI Sales Agent
Kore.ai,kore.ai,AI SDR / AI Sales Agent
Kronologic,kronologic.com,AI SDR / AI Sales Agent
Labeeb,labeeb.io,AI SDR / AI Sales Agent
Landbase,landbase.com,AI SDR / AI Sales Agent
Lazer AI,lazer.ai,AI SDR / AI Sales Agent
LeadRev,leadrev.ai,AI SDR / AI Sales Agent
Lindy,lindy.ai,AI SDR / AI Sales Agent
Lyzr AI,lyzr.ai,AI SDR / AI Sales Agent
Machina Labs,machinelabs.ai,AI SDR / AI Sales Agent
Martal,martal.ca,AI SDR / AI Sales Agent
Maxy,maxy.ai,AI SDR / AI Sales Agent
Meera AI,meeraai.com,AI SDR / AI Sales Agent
Nexus,nexusai.io,AI SDR / AI Sales Agent
OnFire AI,onfire.ai,AI SDR / AI Sales Agent
Openstream,openstream.ai,AI SDR / AI Sales Agent
Outreach.ai,outreach.ai,AI SDR / AI Sales Agent
Padres,padres.ai,AI SDR / AI Sales Agent
Persana AI,persana.ai,AI SDR / AI Sales Agent
Relevance AI,relevanceai.com,AI SDR / AI Sales Agent
Revi,revi.ai,AI SDR / AI Sales Agent
Revscale,revscale.ai,AI SDR / AI Sales Agent
Roger AI,get-roger.ai,AI SDR / AI Sales Agent
SalesAI,salesai.io,AI SDR / AI Sales Agent
SalesBox AI,salesbox.ai,AI SDR / AI Sales Agent
SalesCaptain,salescaptain.io,AI SDR / AI Sales Agent
Saleswhale,saleswhale.com,AI SDR / AI Sales Agent
Selix AI,selix.ai,AI SDR / AI Sales Agent
Simulacrum,simulacrum.ai,AI SDR / AI Sales Agent
SmartAction,smartaction.ai,AI SDR / AI Sales Agent
Squadstack,squadstack.com,AI SDR / AI Sales Agent
Structurely,structurely.com,AI SDR / AI Sales Agent
TAMTAM,tamtam.ai,AI SDR / AI Sales Agent
Tick,tick.ai,AI SDR / AI Sales Agent
Topo,topo.io,AI SDR / AI Sales Agent
Valley AI,joinvalley.co,AI SDR / AI Sales Agent
Vector Agents,vectoragents.ai,AI SDR / AI Sales Agent
Venta AI,ventaai.com,AI SDR / AI Sales Agent
Verse,verse.io,AI SDR / AI Sales Agent
Willow,getwillow.com,AI SDR / AI Sales Agent
Autobound,autobound.ai,Cold Email Platform
Autoklose,autoklose.com,Cold Email Platform
Autoreach,autoreach.io,Cold Email Platform
Boomerang,boomeranggmail.com,Cold Email Platform
BuzzStream,buzzstream.com,Cold Email Platform
ColdEmailKit,coldemailkit.com,Cold Email Platform
ColdIQ,coldiq.com,Cold Email Platform
Clout9,clout9.io,Cold Email Platform
Cursive,meetcursive.com,Cold Email Platform
Deanno,deanno.io,Cold Email Platform
DitLead,ditlead.com,Cold Email Platform
Drips,drips.com,Cold Email Platform
Emelia,emelia.io,Cold Email Platform
EmailBison,emailbison.com,Cold Email Platform
Emailchaser,emailchaser.com,Cold Email Platform
GetReplies,getreplies.ai,Cold Email Platform
GMass,gmass.co,Cold Email Platform
Growbots,growbots.com,Cold Email Platform
GrowthGenius,growthgenius.com,Cold Email Platform
Hatch,usehatchapp.com,Cold Email Platform
Hypergen,hypergen.io,Cold Email Platform
Hyperise,hyperise.com,Cold Email Platform
Hypertxt,hypertxt.ai,Cold Email Platform
Instantly,instantly.ai,Cold Email Platform
Interseller,interseller.io,Cold Email Platform
Klenty,klenty.com,Cold Email Platform
LeadChampion,leadchampion.co,Cold Email Platform
LeadHaste,leadhaste.com,Cold Email Platform
Lemlist,lemlist.com,Cold Email Platform
Lavender,lavender.ai,Cold Email Platform
Lyne,lyne.ai,Cold Email Platform
MailTag,mailtag.io,Cold Email Platform
